"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"POST","DEV2:VIP  -  /rec/v4/user-recordings/",90,0,73,76,64,124,39629,60.52
"None","Total",90,0,73,76,64,124,39629,60.52
