"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"POST DEV2:VIP  -  /rec/v4/user-recordings/",90,73,77,80,84,90,97,110,120,120
"Total",90,73,77,80,84,90,97,110,120,120
