"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"POST","DEV2:VIP  -  /rec/v4/user-recordings/",255,0,110,105,43,204,1112,255.00
"None","Total",255,0,110,105,43,204,1112,255.00
