"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"POST","DEV2:VIP  -  /rec/v4/user-recordings/",877,0,190,252,63,1125,39629,127.36
"None","Total",877,0,190,252,63,1125,39629,127.36
