"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"POST DEV2:1  -  /rec/v1/user-recordings/",83,8200,8200,8200,8200,8200,8300,8300,8300,8300
"Total",83,8200,8200,8200,8200,8200,8300,8300,8300,8300
