"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"POST","0 PASS < 250.0ms: DEV2-VIP--/rec/v4/user-recordings/",46,0,70,70,63,77,39630,46.00
"None","Total",46,0,70,70,63,77,39630,46.00
