"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"POST 0 PASS < 250.0ms: DEV2-VIP--/rec/v4/user-recordings/",2904,95,120,140,150,180,200,230,240,250
"POST 1 SLOW 250.0ms -- 500.0ms: DEV2-VIP--/rec/v4/user-recordings/",730,380,420,440,450,470,480,500,500,500
"POST 2 VERY SLOW 500.0ms -- 1000ms: DEV2-VIP--/rec/v4/user-recordings/",378,600,620,640,700,750,800,900,930,980
"POST 3 USER WAIT 1000ms -- 3000ms: DEV2-VIP--/rec/v4/user-recordings/",78,1900,2200,2300,2400,2600,2900,3000,3000,3000
"POST 4 LONG USER WAIT 3000ms -- 6000ms: DEV2-VIP--/rec/v4/user-recordings/",86,4500,5100,5400,5500,5700,5900,5900,6000,6000
"POST 5 TIMEOUT >6000ms: DEV2-VIP--/rec/v4/user-recordings/",44,8400,8800,9200,9300,9600,9700,9900,9900,9900
"Total",4220,130,210,340,420,590,950,4600,6400,9900
