"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"POST","DEV2:VIP  -  /rec/v4/user-recordings/",94,0,45,45,41,51,1073,94.00
"None","Total",94,0,45,45,41,51,1073,94.00
