"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"POST 0 PASS < 250.0ms: DEV2-VIP--/rec/v4/user-recordings/",32309,120,160,180,200,220,230,240,250,250
"POST 1 SLOW 250.0ms -- 500.0ms: DEV2-VIP--/rec/v4/user-recordings/",12600,320,360,380,400,450,470,490,490,500
"POST 2 VERY SLOW 500.0ms -- 1000ms: DEV2-VIP--/rec/v4/user-recordings/",4202,620,680,730,770,860,930,950,970,1000
"POST 3 USER WAIT 1000ms -- 3000ms: DEV2-VIP--/rec/v4/user-recordings/",214,1100,1200,1200,1200,1300,1300,1300,1300,1300
"POST 4 LONG USER WAIT 3000ms -- 6000ms: DEV2-VIP--/rec/v4/user-recordings/",1,3400,3400,3400,3400,3400,3400,3400,3400,3400
"Total",49326,190,250,300,340,480,610,780,910,3400
