"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"POST DEV2:VIP  -  /rec/v4/user-recordings/",28,70,70,72,73,75,75,78,78,78
"Total",28,70,70,72,73,75,75,78,78,78
