"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"POST 0 PASS < 250.0ms: DEV2-VIP--/rec/v4/user-recordings/",89,70,73,74,74,77,80,84,100,100
"Total",89,70,73,74,74,77,80,84,100,100
