"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"POST","DEV2:1  -  /rec/v1/user-recordings/",83,0,8200,8151,7986,8280,36519,0.75
"None","Total",83,0,8200,8151,7986,8280,36519,0.75
