"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"POST","0 PASS < 250.0ms: DEV2-VIP--/rec/v4/user-recordings/",224,0,71,73,62,116,39630,193.09
"None","Total",224,0,71,73,62,116,39630,193.09
